Number,Player Name,Nation,Position,Age,Club
1,Hernán Galíndez,Ecuador,GK,35,Aucas
2,Félix Torres,Ecuador,DF,25,Santos Laguna
3,Piero Hincapié,Ecuador,DF,20,Bayer Leverkusen
4,Robert Arboleda,Ecuador,DF,31,São Paulo
5,José Cifuentes,Ecuador,MF,23,Los Angeles FC
6,Willian Pacho,Ecuador,DF,21,Antwerp
7,Pervis Estupiñán,Ecuador,DF,24,Brighton & Hove Albion
8,Carlos Gruezo,Ecuador,MF,27,FC Augsburg
9,Ayrton Preciado,Ecuador,MF,28,Santos Laguna
10,Romario Ibarra,Ecuador,MF,28,Pachuca
11,Michael Estrada,Ecuador,FW,26,Cruz Azul
12,Moisés Ramírez,Ecuador,GK,22,Independiente del Valle
13,Enner Valencia,Ecuador,FW,33,Fenerbahçe
14,Xavier Arreaga,Ecuador,DF,28,Seattle Sounders FC
15,Ángel Mena,Ecuador,MF,34,León
16,Jeremy Sarmiento,Ecuador,MF,20,Brighton & Hove Albion
17,Ángelo Preciado,Ecuador,DF,24,Genk
18,Diego Palacios,Ecuador,DF,23,Los Angeles FC
19,Gonzalo Plata,Ecuador,MF,22,Valladolid
20,Sebas Méndez,Ecuador,MF,25,Los Angeles FC
21,Alan Franco,Ecuador,MF,24,Talleres
22,Alexander Domínguez,Ecuador,GK,35,LDU Quito
23,Moisés Caicedo,Ecuador,MF,21,Brighton & Hove Albion
24,Djorkaeff Reasco,Ecuador,FW,23,Newell's Old Boys
25,Jackson Porozo,Ecuador,DF,22,Troyes
26,Kevin Rodríguez,Ecuador,FW,22,Imbabura
27,Remko Pasveer,Netherlands,GK,39,Ajax
28,Jurriën Timber,Netherlands,DF,21,Ajax
29,Matthijs de Ligt,Netherlands,DF,23,Bayern Munich
30,Virgil van Dijk,Netherlands,DF,31,Liverpool
31,Nathan Aké,Netherlands,DF,27,Manchester City
32,Stefan de Vrij,Netherlands,DF,30,Internazionale
33,Steven Bergwijn,Netherlands,FW,25,Ajax
34,Cody Gakpo,Netherlands,FW,23,PSV Eindhoven
35,Luuk de Jong,Netherlands,FW,32,PSV Eindhoven
36,Memphis Depay,Netherlands,FW,28,Barcelona
37,Steven Berghuis,Netherlands,MF,30,Ajax
38,Noa Lang,Netherlands,FW,23,Club Brugge
39,Justin Bijlow,Netherlands,GK,24,Feyenoord
40,Davy Klaassen,Netherlands,MF,29,Ajax
41,Marten de Roon,Netherlands,MF,31,Atalanta
42,Tyrell Malacia,Netherlands,DF,23,Manchester United
43,Daley Blind,Netherlands,DF,32,Ajax
44,Vincent Janssen,Netherlands,FW,28,Antwerp
45,Wout Weghorst,Netherlands,FW,30,Beşiktaş
46,Teun Koopmeiners,Netherlands,MF,24,Atalanta
47,Frenkie de Jong,Netherlands,MF,25,Barcelona
48,Denzel Dumfries,Netherlands,DF,26,Internazionale
49,Andries Noppert,Netherlands,GK,28,Heerenveen
50,Kenneth Taylor,Netherlands,MF,20,Ajax
51,Xavi Simons,Netherlands,MF,19,PSV Eindhoven
52,Jeremie Frimpong,Netherlands,DF,21,Bayer Leverkusen
53,Saad Al-Sheeb,Qatar,GK,32,Al-Sadd
54,Ró-Ró,Qatar,DF,32,Al-Sadd
55,Abdelkarim Hassan,Qatar,DF,29,Al-Sadd
56,Mohammed Waad,Qatar,MF,23,Al-Sadd
57,Tarek Salman,Qatar,DF,24,Al-Sadd
58,Abdulaziz Hatem,Qatar,MF,32,Al-Rayyan
59,Ahmed Alaaeldin,Qatar,FW,29,Al-Gharafa
60,Ali Assadalla,Qatar,MF,29,Al-Sadd
61,Mohammed Muntari,Qatar,FW,28,Al-Duhail
62,Hassan Al-Haydos,Qatar,MF,31,Al-Sadd
63,Akram Afif,Qatar,FW,26,Al-Sadd
64,Karim Boudiaf,Qatar,MF,32,Al-Duhail
65,Musab Kheder,Qatar,DF,29,Al-Sadd
66,Homam Ahmed,Qatar,DF,23,Al-Gharafa
67,Bassam Al-Rawi,Qatar,DF,24,Al-Duhail
68,Boualem Khoukhi,Qatar,DF,32,Al-Sadd
69,Ismaeel Mohammad,Qatar,DF,32,Al-Duhail
70,Khalid Muneer,Qatar,FW,24,Al-Wakrah
71,Almoez Ali,Qatar,FW,26,Al-Duhail
72,Salem Al-Hajri,Qatar,MF,26,Al-Sadd
73,Yousef Hassan,Qatar,GK,26,Al-Gharafa
74,Meshaal Barsham,Qatar,GK,24,Al-Sadd
75,Assim Madibo,Qatar,MF,26,Al-Duhail
76,Naif Al-Hadhrami,Qatar,MF,21,Al-Rayyan
77,Jassem Gaber,Qatar,MF,20,Al-Arabi
78,Mostafa Meshaal,Qatar,MF,21,Al-Sadd
79,Seny Dieng,Senegal,GK,27,Queens Park Rangers
80,Formose Mendy,Senegal,DF,21,Amiens
81,Kalidou Koulibaly,Senegal,DF,31,Chelsea
82,Pape Abou Cissé,Senegal,DF,27,Olympiacos
83,Idrissa Gueye,Senegal,MF,33,Everton
84,Nampalys Mendy,Senegal,MF,30,Leicester City
85,Nicolas Jackson,Senegal,FW,21,Villarreal
86,Cheikhou Kouyaté,Senegal,DF,32,Nottingham Forest
87,Boulaye Dia,Senegal,FW,26,Salernitana
88,Moussa N'Diaye,Senegal,DF,20,Anderlecht
89,Pathé Ciss,Senegal,MF,28,Rayo Vallecano
90,Fodé Ballo-Touré,Senegal,DF,25,Milan
91,Iliman Ndiaye,Senegal,FW,22,Sheffield United
92,Ismail Jakobs,Senegal,DF,23,Monaco
93,Krépin Diatta,Senegal,MF,23,Monaco
94,Édouard Mendy,Senegal,GK,30,Chelsea
95,Pape Matar Sarr,Senegal,MF,20,Tottenham Hotspur
96,Ismaïla Sarr,Senegal,FW,24,Watford
97,Famara Diédhiou,Senegal,FW,29,Alanyaspor
98,Bamba Dieng,Senegal,FW,22,Marseille
99,Youssouf Sabaly,Senegal,DF,29,Real Betis
100,Abdou Diallo,Senegal,DF,26,RB Leipzig
101,Alfred Gomis,Senegal,GK,29,Rennes
102,Moustapha Name,Senegal,DF,27,Pafos
103,Mamadou Loum,Senegal,MF,25,Reading
104,Pape Gueye,Senegal,MF,23,Marseille
105,Jordan Pickford,England,GK,28,Everton
106,Kyle Walker,England,DF,32,Manchester City
107,Luke Shaw,England,DF,27,Manchester United
108,Declan Rice,England,MF,23,West Ham United
109,John Stones,England,DF,28,Manchester City
110,Harry Maguire,England,DF,29,Manchester United
111,Jack Grealish,England,FW,27,Manchester City
112,Jordan Henderson,England,MF,32,Liverpool
113,Harry Kane,England,FW,29,Tottenham Hotspur
114,Raheem Sterling,England,FW,27,Chelsea
115,Marcus Rashford,England,FW,25,Manchester United
116,Kieran Trippier,England,DF,32,Newcastle United
117,Nick Pope,England,GK,30,Newcastle United
118,Kalvin Phillips,England,MF,26,Manchester City
119,Eric Dier,England,DF,28,Tottenham Hotspur
120,Conor Coady,England,DF,29,Everton
121,Bukayo Saka,England,FW,21,Arsenal
122,Trent Alexander-Arnold,England,DF,24,Liverpool
123,Mason Mount,England,MF,23,Chelsea
124,Phil Foden,England,MF,22,Manchester City
125,Ben White,England,DF,25,Arsenal
126,Jude Bellingham,England,MF,19,Borussia Dortmund
127,Aaron Ramsdale,England,GK,24,Arsenal
128,Callum Wilson,England,FW,30,Newcastle United
129,James Maddison,England,MF,25,Leicester City
130,Conor Gallagher,England,MF,22,Chelsea
131,Alireza Beiranvand,Iran,GK,30,Persepolis
132,Sadegh Moharrami,Iran,DF,26,Dinamo Zagreb
133,Ehsan Hajsafi,Iran,DF,32,AEK Athens
134,Shojae Khalilzadeh,Iran,DF,33,Al-Ahli Doha
135,Milad Mohammadi,Iran,DF,29,AEK Athens
136,Saeid Ezatolahi,Iran,MF,26,Vejle
137,Alireza Jahanbakhsh,Iran,MF,29,Feyenoord
138,Morteza Pouraliganji,Iran,DF,30,Persepolis
139,Mehdi Taremi,Iran,FW,30,Porto
140,Karim Ansarifard,Iran,FW,32,Omonia
141,Vahid Amiri,Iran,MF,34,Persepolis
142,Payam Niazmand,Iran,GK,27,Sepahan
143,Hossein Kanaanizadegan,Iran,DF,28,Al-Ahli Doha
144,Saman Ghoddos,Iran,MF,29,Brentford
145,Rouzbeh Cheshmi,Iran,DF,29,Esteghlal
146,Mehdi Torabi,Iran,MF,28,Persepolis
147,Ali Gholizadeh,Iran,MF,26,Charleroi
148,Ali Karimi,Iran,MF,28,Kayserispor
149,Majid Hosseini,Iran,DF,26,Kayserispor
150,Sardar Azmoun,Iran,FW,27,Bayer Leverkusen
151,Ahmad Nourollahi,Iran,MF,29,Shabab Al-Ahli
152,Amir Abedzadeh,Iran,GK,29,Ponferradina
153,Ramin Rezaeian,Iran,DF,32,Sepahan
154,Hossein Hosseini,Iran,GK,30,Esteghlal
155,Abolfazl Jalali,Iran,DF,24,Esteghlal
156,Matt Turner,States,GK,28,Arsenal
157,Sergiño Dest,States,DF,22,Milan
158,Walker Zimmerman,States,DF,29,Nashville SC
159,Tyler Adams,States,MF,23,Leeds United
160,Antonee Robinson,States,DF,25,Fulham
161,Yunus Musah,States,MF,19,Valencia
162,Giovanni Reyna,States,FW,20,Borussia Dortmund
163,Weston McKennie,States,MF,24,Juventus
164,Jesús Ferreira,States,FW,21,FC Dallas
165,Christian Pulisic,States,FW,24,Chelsea
166,Brenden Aaronson,States,FW,22,Leeds United
167,Ethan Horvath,States,GK,27,Luton Town
168,Tim Ream,States,DF,35,Fulham
169,Luca de la Torre,States,MF,24,Celta Vigo
170,Aaron Long,States,DF,30,New York Red Bulls
171,Jordan Morris,States,FW,28,Seattle Sounders FC
172,Cristian Roldan,States,MF,27,Seattle Sounders FC
173,Shaq Moore,States,DF,26,Nashville SC
174,Haji Wright,States,FW,24,Antalyaspor
175,Cameron Carter-Vickers,States,DF,24,Celtic
176,Timothy Weah,States,FW,22,Lille
177,DeAndre Yedlin,States,DF,29,Inter Miami CF
178,Kellyn Acosta,States,MF,27,Los Angeles FC
179,Josh Sargent,States,FW,22,Norwich City
180,Sean Johnson,States,GK,33,New York City FC
181,Joe Scally,States,DF,19,Borussia Mönchengladbach
182,Wayne Hennessey,Wales,GK,35,Nottingham Forest
183,Chris Gunter,Wales,DF,33,AFC Wimbledon
184,Neco Williams,Wales,DF,21,Nottingham Forest
185,Ben Davies,Wales,DF,29,Tottenham Hotspur
186,Chris Mepham,Wales,DF,25,Bournemouth
187,Joe Rodon,Wales,DF,25,Rennes
188,Joe Allen,Wales,MF,32,Swansea City
189,Harry Wilson,Wales,MF,25,Fulham
190,Brennan Johnson,Wales,FW,21,Nottingham Forest
191,Aaron Ramsey,Wales,MF,31,Nice
192,Gareth Bale,Wales,FW,33,Los Angeles FC
193,Danny Ward,Wales,GK,29,Leicester City
194,Kieffer Moore,Wales,FW,30,Bournemouth
195,Connor Roberts,Wales,DF,27,Burnley
196,Ethan Ampadu,Wales,DF,22,Spezia
197,Joe Morrell,Wales,MF,25,Portsmouth
198,Tom Lockyer,Wales,DF,27,Luton Town
199,Jonny Williams,Wales,MF,29,Swindon Town
200,Mark Harris,Wales,FW,23,Cardiff City
201,Daniel James,Wales,FW,25,Fulham
202,Adam Davies,Wales,GK,30,Sheffield United
203,Sorba Thomas,Wales,MF,23,Huddersfield Town
204,Dylan Levitt,Wales,MF,22,Dundee United
205,Ben Cabango,Wales,DF,22,Swansea City
206,Rubin Colwill,Wales,MF,20,Cardiff City
207,Matthew Smith,Wales,MF,22,Milton Keynes Dons
208,Franco Armani,Argentina,GK,36,River Plate
209,Juan Foyth,Argentina,DF,24,Villarreal
210,Nicolás Tagliafico,Argentina,DF,30,Lyon
211,Gonzalo Montiel,Argentina,DF,25,Sevilla
212,Leandro Paredes,Argentina,MF,28,Juventus
213,Germán Pezzella,Argentina,DF,31,Real Betis
