name,seating capacity,city,country,build,images
1,Camp Nou,"99,354",Barcelona,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
2,Wembley Stadium,"90,000",London,England,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
3,Santiago Bernabéu,"83,186",Madrid,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
4,Croke Park,"82,30073,500 (seated)",Dublin,Ireland,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
5,Twickenham Stadium,"82,000",London,England,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
6,Stade de France,"81,400 (field)",Saint-Denis,France,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
7,Westfalenstadion,"81,365 (nd)",Dortmund,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
8,San Siro,"80,018 (maximum)78,275 (current maximum)",Milan,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
9,Luzhniki Stadium,"78,011",Moscow,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
10,Allianz Arena,"75,024 (nd)70,000 (d)",Munich,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
11,Atatürk Olympic Stadium,"74,753",Istanbul,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
12,Millennium Stadium,"74,500",Cardiff,Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
13,Olympiastadion,"74,461",Berlin,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
14,Old Trafford,"74,031",Manchester,England,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
15,Stadio Olimpico,"70,634",Rome,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
16,Metropolitano Stadium,"70,460",Madrid,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
17,NSC Olimpiyskiy,"70,050",Kyiv,Ukraine,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png
